"word","n"
"price",2328
"money",1899
"labour",1784
"capital",1648
"country",1594
"quantity",1514
"produce",1506
"trade",1208
"rate",1115
"land",1105
"wages",965
"rent",957
"corn",934
"tax",930
"employment",919
"time",895
"people",847
"proportion",821
"demand",820
"market",813
"commodities",811
"stock",778
"increase",766
"revenue",747
"silver",738
"employed",727
"profits",725
"countries",717
"gold",710
"rise",676
"real",655
"foreign",637
"profit",608
"expense",595
"equal",570
"consumption",565
"fall",560
"england",542
"investment",533
"paid",514
"industry",506
