"word","n"
"labour",3305
"capital",1540
"production",1450
"power",1095
"time",1049
"form",926
"means",908
"social",887
"money",845
"capitalist",843
"day",825
"commodities",736
"hours",690
"surplus",685
"commodity",657
"class",608
"process",583
"hand",561
"industry",533
"political",519
